-,-,-,-,-,n,i,p,_,r,e,p,o,r,t,4,7,-,-,-,-,-
session_id,transaction_date,response_code,amount
000001230106220351000217609658,2023-01-06 22:02:13,00,5000.00
000001230106220351000217609663,2023-01-06 22:02:14,00,6000.00
000001230106220351000217609667,2023-01-06 22:02:13,00,5000.00
000001230106220352000217607892,2023-01-06 22:02:20,00,5000000.00
000001230106220352000217609656,2023-01-06 22:02:14,00,5000.00
000001230106220352000217609662,2023-01-06 22:02:16,00,39000.00
000001230106220352000217609668,2023-01-06 22:02:14,00,3000.00
000001230106220352000217609671,2023-01-06 22:02:14,00,6400.00
000001230106220353000217609674,2023-01-06 22:02:17,00,50000.00
000001230106220354000217608359,2023-01-06 22:02:15,00,500000.00
000001230106220354000217608368,2023-01-06 22:02:22,00,10000000.00
000001230106220355000217580464,2023-01-06 22:02:16,00,6500.00
000001230106220355000217609650,2023-01-06 22:02:18,00,1600.00
000001230106220355000217609677,2023-01-06 22:02:20,00,15000.00
000001230106220355000217609680,2023-01-06 22:02:20,00,50000.00
000001230106220355000217609681,2023-01-06 22:02:21,00,5000.00
000001230106220356000217609666,2023-01-06 22:02:17,00,20000.00
000001230106220356000217609675,2023-01-06 22:02:19,00,5000.00
000001230106220357000217609678,2023-01-06 22:02:23,00,2100.00
000001230106220357000217609682,2023-01-06 22:02:18,00,5000.00
000001230106220357000217609684,2023-01-06 22:02:24,00,60000.00
000001230106220358000217609685,2023-01-06 22:02:22,00,3000.00
000001230106220359000217609665,2023-01-06 22:02:24,00,1000.00
000001230106220359000217609689,2023-01-06 22:02:27,00,250000.00
000001230106220400000217580473,2023-01-06 22:02:25,00,200000.00
000001230106220400000217609694,2023-01-06 22:02:28,00,270000.00
000001230106220402070402402949,2023-01-06 22:20:47,00,20000.00
000001230106220403027102188762,2023-01-06 22:20:47,00,2000.00
000001230106220404000217609679,2023-01-06 22:02:26,00,4000.00
000001230106220404000217609688,2023-01-06 22:02:33,00,15000.00
000001230106220404000217609692,2023-01-06 22:02:26,00,2100.00
000001230106220404000217609695,2023-01-06 22:02:26,00,10000.00
000001230106220404000217609697,2023-01-06 22:02:26,00,67000.00
000001230106220404000217609698,2023-01-06 22:02:41,00,1600.00
000001230106220404000217609699,2023-01-06 22:02:28,00,85200.00
000001230106220404000217609700,2023-01-06 22:02:26,00,9800.00
000001230106220404000217609701,2023-01-06 22:02:30,00,2000.00
000001230106220404000217609702,2023-01-06 22:02:26,00,10000.00
000001230106220404000217609703,2023-01-06 22:02:26,00,4000.00
000001230106220404000217609704,2023-01-06 22:02:25,00,5000.00
000001230106220404000217609705,2023-01-06 22:02:26,00,3000.00
000001230106220405000217609709,2023-01-06 22:02:28,00,19000.00
000001230106220407000217609712,2023-01-06 22:02:30,00,150000.00
000001230106220407000217609713,2023-01-06 22:02:30,00,1000.00
000001230106220408000217609664,2023-01-06 22:02:30,00,23000.00
000001230106220408000217609672,2023-01-06 22:02:30,00,1000.00
000001230106220408000217609715,2023-01-06 22:02:31,00,500.00
000001230106220408000217609716,2023-01-06 22:02:30,00,40000.00
000001230106220409000217609714,2023-01-06 22:02:31,00,5000.00
000001230106220409000217609718,2023-01-06 22:02:31,00,40001.00
000001230106220410000217580487,2023-01-06 22:02:33,00,101000.00
000001230106220410000217609708,2023-01-06 22:02:33,00,40000.00
000001230106220410000217609719,2023-01-06 22:02:32,00,3000.00
000001230106220410000217609722,2023-01-06 22:02:33,00,500.00
000001230106220411000217609696,2023-01-06 22:02:33,00,100000.00
000001230106220411000217609720,2023-01-06 22:02:43,00,100000.00
000001230106220412000217609721,2023-01-06 22:02:36,00,20000.00
000001230106220412000217609723,2023-01-06 22:02:36,00,20000.00
000001230106220412000217609726,2023-01-06 22:02:34,00,3000.00
000001230106220412000217609727,2023-01-06 22:02:38,00,2000.00
000001230106220412000217609728,2023-01-06 22:02:36,00,75000.00
000001230106220412000217609729,2023-01-06 22:02:33,00,1000.00
000001230106220413000217609730,2023-01-06 22:02:35,00,1400.00
000001230106220413000217609731,2023-01-06 22:02:34,00,265400.00
000001230106220415000217609686,2023-01-06 22:02:39,00,99800.00
000001230106220417000217609490,2023-01-06 22:02:41,00,2000.00
000001230106220417000217609725,2023-01-06 22:02:41,00,10000.00
000001230106220418000217580616,2023-01-06 22:02:39,00,2000.00
000001230106220418000217609691,2023-01-06 22:02:39,00,150000.00
000001230106220418000217609737,2023-01-06 22:02:41,00,10000.00
000001230106220419000217609734,2023-01-06 22:02:41,00,1200.00
000001230106220419000217609739,2023-01-06 22:02:40,00,3500.00
000001230106220420000217609706,2023-01-06 22:02:43,00,2100.00
000001230106220420000217609741,2023-01-06 22:02:42,00,4000.00
000001230106220422000217609742,2023-01-06 22:02:43,00,2000.00
000001230106220422000217609743,2023-01-06 22:02:44,00,600.00
000001230106220422000217609744,2023-01-06 22:02:43,00,1300.00
000001230106220423000217609711,2023-01-06 22:02:49,00,10000.00
000001230106220423000217609745,2023-01-06 22:02:49,00,45000.00
000001230106220423000217609746,2023-01-06 22:02:44,00,10000.00
000001230106220424000217580828,2023-01-06 22:02:45,00,5600.00
000001230106220424000217609747,2023-01-06 22:02:49,00,51400.00
000001230106220424000217609748,2023-01-06 22:02:45,00,50000.00
